Gene_name,Ensemble_id,Protein_ensembl_id,Locus
SLC12A5,ENSCAFG00845017857,ENSCAFP00845025129.1,24:33996182:34031468:1
NCOA5,ENSCAFG00845018338,ENSCAFP00845025353.1,24:34033540:34062704:-1
CD40,ENSCAFG00845018444,ENSCAFP00845025670.1,24:34082383:34092875:1
CDH22,ENSCAFG00845018625,ENSCAFP00845025762.1,24:34134217:34202243:-1
SLC35C2,ENSCAFG00845018711,ENSCAFP00845025919.1,24:34293272:34307190:-1
ELMO2,ENSCAFG00845018858,ENSCAFP00845026316.1,24:34308691:34348682:-1
ZNF334,ENSCAFG00845019229,ENSCAFP00845026552.1,24:34393778:34406848:-1
OCSTAMP,ENSCAFG00845019351,ENSCAFP00845026734.1,24:34505959:34509115:-1
SLC13A3,ENSCAFG00845019431,ENSCAFP00845027058.1,24:34518080:34593006:-1
TP53RK,ENSCAFG00845019676,ENSCAFP00845027176.1,24:34604370:34607526:-1
SLC2A10,ENSCAFG00845019723,ENSCAFP00845027231.1,24:34614018:34628991:1
EYA2,ENSCAFG00845020227,ENSCAFP00845028366.1,24:34802104:35017234:1
ZMYND8,ENSCAFG00845020959,ENSCAFP00845030613.1,24:35032084:35157509:-1
NCOA3,ENSCAFG00845022283,ENSCAFP00845030993.1,24:35293661:35438852:1
SULF2,ENSCAFG00845022596,ENSCAFP00845031408.1,24:35439410:35536496:-1
PREX1,ENSCAFG00845023092,ENSCAFP00845032547.1,24:36112186:36287722:-1
ARFGEF2,ENSCAFG00845023652,ENSCAFP00845032786.1,24:36353565:36449240:1
CSE1L,ENSCAFG00845023846,ENSCAFP00845033248.1,24:36464778:36510769:1
STAU1,ENSCAFG00845024157,ENSCAFP00845033643.1,24:36520999:36575346:-1
DDX27,ENSCAFG00845024443,ENSCAFP00845033985.1,24:36616660:36635586:1
ZNFX1,ENSCAFG00845024687,ENSCAFP00845034237.1,24:36637025:36661071:-1
KCNB1,ENSCAFG00845024922,ENSCAFP00845034467.1,24:36729608:36823404:-1
PTGIS,ENSCAFG00845025000,ENSCAFP00845034904.1,24:36821515:36873620:-1
B4GALT5,ENSCAFG00845025327,ENSCAFP00845035013.1,24:36925563:37001902:-1
SLC9A8,ENSCAFG00845025485,ENSCAFP00845035617.1,24:37068945:37139800:1
IL29L,ENSCAFG00845025792,ENSCAFP00845035691.1,24:37144223:37144796:1
SPATA2,ENSCAFG00845025815,ENSCAFP00845035722.1,24:37147641:37158050:-1
RNF114,ENSCAFG00845025848,ENSCAFP00845035788.1,24:37170508:37187451:1
SNAI1,ENSCAFG00845025916,ENSCAFP00845035882.1,24:37204035:37209945:1
UBE2V1,ENSCAFG00845025977,ENSCAFP00845036135.1,24:37276344:37309420:-1
PEDS1,ENSCAFG00845026138,ENSCAFP00845036219.1,24:37317307:37340418:-1
CEBPB,ENSCAFG00845026193,ENSCAFP00845036273.1,24:37368233:37369274:1
PTPN1,ENSCAFG00845026218,ENSCAFP00845036315.1,24:37642560:37712561:1
RIPOR3,ENSCAFG00845026334,ENSCAFP00845036685.1,24:37714238:37787563:-1
PARD6B,ENSCAFG00845026631,ENSCAFP00845036805.1,24:37816254:37832600:1
ADNP,ENSCAFG00845026717,ENSCAFP00845036948.1,24:37922781:37953382:-1
DPM1,ENSCAFG00845026765,ENSCAFP00845037030.1,24:37957598:37978215:-1
MOCS3,ENSCAFG00845026807,ENSCAFP00845037081.1,24:37978426:37979923:1
KCNG1,ENSCAFG00845026863,ENSCAFP00845037159.1,24:38029951:38047655:-1
NFATC2,ENSCAFG00845026966,ENSCAFP00845037445.1,24:38320199:38479698:-1
ATP9A,ENSCAFG00845027235,ENSCAFP00845038117.1,24:38505801:38638614:-1
SALL4,ENSCAFG00845027669,ENSCAFP00845038351.1,24:38649919:38749658:-1
ZFP64,ENSCAFG00845027811,ENSCAFP00845038660.1,24:38915008:39001735:-1
TSHZ2,ENSCAFG00845027975,ENSCAFP00845038742.1,24:39622517:39882220:1
ZNF217,ENSCAFG00845028152,ENSCAFP00845039068.1,24:40126365:40135162:-1
BCAS1,ENSCAFG00845028476,ENSCAFP00845040025.1,24:40408541:40512738:-1
CYP24A1,ENSCAFG00845028958,ENSCAFP00845040245.1,24:40576844:40591462:-1
PFDN4,ENSCAFG00845029028,ENSCAFP00845040288.1,24:40616725:40628944:1
DOK5,ENSCAFG00845029068,ENSCAFP00845040345.1,24:40842593:40995459:1
CBLN4,ENSCAFG00845029097,ENSCAFP00845040411.1,24:41971213:42032599:-1
MC3R,ENSCAFG00845029148,ENSCAFP00845040470.1,24:42204168:42205831:1
FAM210B,ENSCAFG00845029164,ENSCAFP00845040494.1,24:42284836:42292297:1
AURKA,ENSCAFG00845029207,ENSCAFP00845040568.1,24:42296228:42315779:-1
CSTF1,ENSCAFG00845029253,ENSCAFP00845040610.1,24:42315968:42328350:1
CASS4,ENSCAFG00845029281,ENSCAFP00845040705.1,24:42332006:42420599:1
RTF2,ENSCAFG00845029371,ENSCAFP00845040936.1,24:42375974:42532550:1
GCNT7,ENSCAFG00845029505,ENSCAFP00845040976.1,24:42446141:42458884:-1
TFAP2C,ENSCAFG00845029577,ENSCAFP00845041129.1,24:42545542:42559496:1
BMP7,ENSCAFG00845029691,ENSCAFP00845041380.1,24:43069876:43159842:-1
RAE1,ENSCAFG00845029836,ENSCAFP00845041527.1,24:43211047:43250014:1
RBM38,ENSCAFG00845029906,ENSCAFP00845041607.1,24:43261407:43275957:1
CTCFL,ENSCAFG00845029950,ENSCAFP00845041689.1,24:43342728:43372545:-1
PCK1,ENSCAFG00845029983,ENSCAFP00845041722.1,24:43403837:43409160:1
ZBP1,ENSCAFG00845012986,ENSCAFP00845018130.1,24:43442816:43454650:-1
PMEPA1,ENSCAFG00845013029,ENSCAFP00845018237.1,24:43466162:43521173:-1
C24H20orf85,ENSCAFG00845013121,ENSCAFP00845018324.1,24:43825957:43838373:1
RAB22A,ENSCAFG00845013330,ENSCAFP00845018700.1,24:43973366:44024744:1
VAPB,ENSCAFG00845013414,ENSCAFP00845018819.1,24:44048013:44098692:1
APCDD1L,ENSCAFG00845013480,ENSCAFP00845018864.1,24:44112651:44164636:-1
STX16,ENSCAFG00845013527,ENSCAFP00845018985.1,24:44292532:44318126:1
NPEPL1,ENSCAFG00845013592,ENSCAFP00845019055.1,24:44329128:44346240:1
GNAS,ENSCAFG00845013733,ENSCAFP00845019542.1,24:44457088:44540809:1
GNAS,ENSCAFG00845013928,ENSCAFP00845019597.1,24:44517211:44524468:-1
NELFCD,ENSCAFG00845013969,ENSCAFP00845019684.1,24:44596634:44609369:1
CTSZ,ENSCAFG00845014050,ENSCAFP00845019802.1,24:44609440:44620531:-1
TUBB1,ENSCAFG00845014111,ENSCAFP00845019839.1,24:44627404:44632883:1
ATP5F1E,ENSCAFG00845014129,ENSCAFP00845019875.1,24:44636529:44639979:-1
PRELID3B,ENSCAFG00845014151,ENSCAFP00845019927.1,24:44640673:44650440:-1
ZNF831,ENSCAFG00845014176,ENSCAFP00845019956.1,24:44780876:44858573:1
EDN3,ENSCAFG00845014217,ENSCAFP00845020033.1,24:44901163:44921767:1
PHACTR3,ENSCAFG00845014288,ENSCAFP00845020240.1,24:45096300:45328045:1
SYCP2,ENSCAFG00845014669,ENSCAFP00845021761.1,24:45337857:45398458:-1
PPP1R3D,ENSCAFG00845015533,ENSCAFP00845021802.1,24:45416932:45417832:-1
FAM217B,ENSCAFG00845015558,ENSCAFP00845021837.1,24:45417266:45422819:1
CDH26,ENSCAFG00845015611,ENSCAFP00845021918.1,24:45432931:45475044:1
CDH4,ENSCAFG00845015748,ENSCAFP00845022152.1,24:46416036:46921085:1
TAF4,ENSCAFG00845015879,ENSCAFP00845022231.1,24:46933866:47001098:-1
LSM14B,ENSCAFG00845015999,ENSCAFP00845022482.1,24:47024978:47036260:1
PSMA7,ENSCAFG00845016116,ENSCAFP00845022575.1,24:47039077:47044368:-1
SS18L1,ENSCAFG00845016170,ENSCAFP00845022641.1,24:47044702:47071191:1
MTG2,ENSCAFG00845016227,ENSCAFP00845022705.1,24:47072626:47085468:1
HRH3,ENSCAFG00845016267,ENSCAFP00845022748.1,24:47096069:47100764:-1
OSBPL2,ENSCAFG00845016342,ENSCAFP00845022897.1,24:47116386:47158425:1
ADRM1,ENSCAFG00845016538,ENSCAFP00845023169.1,24:47165586:47171518:1
RPS21,ENSCAFG00845016932,ENSCAFP00845023542.1,24:47232327:47233326:1
CABLES2,ENSCAFG00845016981,ENSCAFP00845023615.1,24:47234680:47247019:-1
RBBP8NL,ENSCAFG00845017078,ENSCAFP00845023764.1,24:47248990:47258429:-1
GATA5,ENSCAFG00845017212,ENSCAFP00845023888.1,24:47288118:47298250:-1
SLCO4A1,ENSCAFG00845017528,ENSCAFP00845024388.1,24:47412129:47429757:1
NTSR1,ENSCAFG00845017702,ENSCAFP00845024539.1,24:47445291:47483519:1
MRGBP,ENSCAFG00845017766,ENSCAFP00845024629.1,24:47504657:47510556:1
OGFR,ENSCAFG00845017856,ENSCAFP00845024831.1,24:47518429:47522998:1
COL9A3,ENSCAFG00845018010,ENSCAFP00845024951.1,24:47526107:47541879:1
TCFL5,ENSCAFG00845018226,ENSCAFP00845025351.1,24:47541888:47557774:-1
DIDO1,ENSCAFG00845018415,ENSCAFP00845025590.1,24:47565189:47612947:-1
GID8,ENSCAFG00845018539,ENSCAFP00845025668.1,24:47613441:47621203:1
SLC17A9,ENSCAFG00845018620,ENSCAFP00845025800.1,24:47624793:47638258:1
BHLHE23,ENSCAFG00845018744,ENSCAFP00845025921.1,24:47663554:47664582:-1
YTHDF1,ENSCAFG00845018849,ENSCAFP00845026141.1,24:47799758:47894081:-1
BIRC7,ENSCAFG00845019116,ENSCAFP00845026427.1,24:47906318:47909340:1
NKAIN4,ENSCAFG00845019207,ENSCAFP00845026583.1,24:47909931:47924962:-1
ARFGAP1,ENSCAFG00845019425,ENSCAFP00845027469.1,24:47937683:47949305:1
CHRNA4,ENSCAFG00845020832,ENSCAFP00845028764.1,24:47977795:47988696:-1
KCNQ2,ENSCAFG00845021011,ENSCAFP00845029599.1,24:48013498:48211383:-1
EEF1A2,ENSCAFG00845021542,ENSCAFP00845029846.1,24:48066087:48249111:-1
FNDC11,ENSCAFG00845022015,ENSCAFP00845030416.1,24:48111533:48114268:1
GMEB2,ENSCAFG00845022265,ENSCAFP00845031385.1,24:48144998:48336418:-1
SRMS,ENSCAFG00845017209,ENSCAFP00845023904.1,24:48272663:48278299:-1
STMN3,ENSCAFG00845017453,ENSCAFP00845024235.1,24:48347483:48356762:-1
RTEL1,ENSCAFG00845017564,ENSCAFP00845024850.1,24:48356907:48387748:1
TNFRSF6B,ENSCAFG00845018187,ENSCAFP00845025301.1,24:48385515:48389435:1
ARFRP1,ENSCAFG00845018384,ENSCAFP00845025488.1,24:48389400:48395919:-1
ZGPAT,ENSCAFG00845018472,ENSCAFP00845025554.1,24:48396291:48408656:1
ZBTB46,ENSCAFG00845018556,ENSCAFP00845025777.1,24:48407271:48468318:-1
SAMD10,ENSCAFG00845018997,ENSCAFP00845027070.1,24:48484673:48580380:-1
ABHD16B,ENSCAFG00845019628,ENSCAFP00845027122.1,24:48488222:48489655:1
TPD52L2,ENSCAFG00845019725,ENSCAFP00845027493.1,24:48489754:48509480:1
DNAJC5,ENSCAFG00845019993,ENSCAFP00845027570.1,24:48514369:48545332:1
UCKL1,ENSCAFG00845020096,ENSCAFP00845028032.1,24:48551591:48562625:-1
PRPF6,ENSCAFG00845020442,ENSCAFP00845028332.1,24:48581924:48622458:1
C24H20orf204,ENSCAFG00845020634,ENSCAFP00845028460.1,24:48623487:48626386:1
SOX18,ENSCAFG00845020667,ENSCAFP00845028516.1,24:48633491:48635406:-1
RGS19,ENSCAFG00845020856,ENSCAFP00845028851.1,24:48651450:48654348:-1
MYT1,ENSCAFG00845021133,ENSCAFP00845030456.1,24:48713528:48779222:1
PCMTD2,ENSCAFG00845022169,ENSCAFP00845030704.1,24:48788621:48811495:1
CKAP2,ENSCAFG00845022305,ENSCAFP00845030851.1,25:237628:253620:-1
THSD1,ENSCAFG00845022638,ENSCAFP00845031313.1,25:300761:326593:1
SLC25A15,ENSCAFG00845024008,ENSCAFP00845033223.1,25:568466:593777:-1
MRPS31,ENSCAFG00845024054,ENSCAFP00845033307.1,25:619003:653281:1
FOXO1,ENSCAFG00845024108,ENSCAFP00845033359.1,25:700890:800342:1
COG6,ENSCAFG00845024231,ENSCAFP00845033980.1,25:1472080:1622745:-1
LHFPL6,ENSCAFG00845024644,ENSCAFP00845034093.1,25:1665961:1903032:1
NHLRC3,ENSCAFG00845024753,ENSCAFP00845034513.1,25:2075169:2133646:-1
PROSER1,ENSCAFG00845025072,ENSCAFP00845035135.1,25:2134386:2160567:1
STOML3,ENSCAFG00845025505,ENSCAFP00845035296.1,25:2168413:2190198:1
FREM2,ENSCAFG00845025571,ENSCAFP00845035562.1,25:2198984:2359379:-1
UFM1,ENSCAFG00845025887,ENSCAFP00845036237.1,25:2484887:2645635:-1
TRPC4,ENSCAFG00845026366,ENSCAFP00845036850.1,25:3025925:3231292:1
POSTN,ENSCAFG00845026785,ENSCAFP00845037597.1,25:3265827:3307415:1
SUPT20H,ENSCAFG00845027530,ENSCAFP00845038796.1,25:3756804:3800065:1
EXOSC8,ENSCAFG00845028126,ENSCAFP00845039027.1,25:3796784:3868011:-1
ALG5,ENSCAFG00845028248,ENSCAFP00845039120.1,25:3804681:3852316:1
SMAD9,ENSCAFG00845028322,ENSCAFP00845039248.1,25:3867165:3943035:1
SERTM1,ENSCAFG00845028427,ENSCAFP00845039342.1,25:4059718:4083541:-1
CCNA1,ENSCAFG00845028457,ENSCAFP00845039380.1,25:4281773:4296521:-1
SPART,ENSCAFG00845028535,ENSCAFP00845039542.1,25:4333553:4389355:1
SOHLH2,ENSCAFG00845028635,ENSCAFP00845039786.1,25:4447162:4498559:1
SOHLH2,ENSCAFG00845028832,ENSCAFP00845040243.1,25:4544125:4880032:1
NBEA,ENSCAFG00845029106,ENSCAFP00845040466.1,25:4961741:5385764:-1
MAB21L1,ENSCAFG00845029178,ENSCAFP00845040508.1,25:5159689:5160769:1
RFC3,ENSCAFG00845029383,ENSCAFP00845040806.1,25:6579164:6596204:-1
STARD13,ENSCAFG00845029481,ENSCAFP00845041080.1,25:6984415:7226718:1
KL,ENSCAFG00845014839,ENSCAFP00845020922.1,25:7255965:7302141:-1
PDS5B,ENSCAFG00845014958,ENSCAFP00845021244.1,25:7505703:7683280:-1
N4BP2L2,ENSCAFG00845015321,ENSCAFP00845021739.1,25:7718102:7790814:1
N4BP2L1,ENSCAFG00845015529,ENSCAFP00845021818.1,25:7796240:7829463:1
ZAR1L,ENSCAFG00845015693,ENSCAFP00845022024.1,25:7895803:7905469:1
FRY,ENSCAFG00845016949,ENSCAFP00845027097.1,25:7932170:8272728:-1
RXFP2,ENSCAFG00845019902,ENSCAFP00845027831.1,25:8411794:8472893:-1
B3GLCT,ENSCAFG00845020443,ENSCAFP00845028933.1,25:8910524:9043736:-1
HSPH1,ENSCAFG00845021081,ENSCAFP00845029377.1,25:9077553:9102903:1
TEX26,ENSCAFG00845021671,ENSCAFP00845029947.1,25:9250098:9281666:-1
MEDAG,ENSCAFG00845021735,ENSCAFP00845030021.1,25:9287075:9304969:-1
ALOX5AP,ENSCAFG00845021804,ENSCAFP00845030127.1,25:9425989:9455453:-1
USPL1,ENSCAFG00845021869,ENSCAFP00845030206.1,25:9509060:9542397:-1
HMGB1,ENSCAFG00845021967,ENSCAFP00845030415.1,25:9663748:9670011:1
KATNAL1,ENSCAFG00845022093,ENSCAFP00845030521.1,25:9822898:9901147:1
UBL3,ENSCAFG00845022214,ENSCAFP00845030722.1,25:10095254:10282334:1
SLC7A1,ENSCAFG00845022314,ENSCAFP00845030853.1,25:10406688:10476852:1
MTUS2,ENSCAFG00845022435,ENSCAFP00845031386.1,25:10483085:10958762:-1
SLC46A3,ENSCAFG00845022832,ENSCAFP00845031562.1,25:11157842:11176420:1
FLT1,ENSCAFG00845023188,ENSCAFP00845032899.1,25:11360100:11538419:1
PAN3,ENSCAFG00845023866,ENSCAFP00845033413.1,25:11545634:11678130:-1
FLT3,ENSCAFG00845024412,ENSCAFP00845034696.1,25:11678652:11799832:1
URAD,ENSCAFG00845025288,ENSCAFP00845034989.1,25:11811319:11821442:1
CDX2,ENSCAFG00845025357,ENSCAFP00845035081.1,25:11830187:11836088:1
PDX1,ENSCAFG00845025401,ENSCAFP00845035131.1,25:11870872:11875895:-1
GSX1,ENSCAFG00845025440,ENSCAFP00845035179.1,25:11982943:11984202:-1
POLR1D,ENSCAFG00845025499,ENSCAFP00845035334.1,25:12081886:12129048:-1
LNX2,ENSCAFG00845025569,ENSCAFP00845035458.1,25:12129282:12205599:1
MTIF3,ENSCAFG00845025671,ENSCAFP00845035552.1,25:12286090:12301189:1
GTF3A,ENSCAFG00845025723,ENSCAFP00845035620.1,25:12301162:12313579:-1
RASL11A,ENSCAFG00845025821,ENSCAFP00845035730.1,25:12447807:12450506:-1
RPL21,ENSCAFG00845025858,ENSCAFP00845035798.1,25:12458140:12463107:-1
USP12,ENSCAFG00845025960,ENSCAFP00845035958.1,25:12565427:12608828:1
GPR12,ENSCAFG00845026068,ENSCAFP00845036101.1,25:12878092:12879097:1
WASF3,ENSCAFG00845026110,ENSCAFP00845036253.1,25:12944370:13077678:-1
CDK8,ENSCAFG00845026285,ENSCAFP00845036592.1,25:13180700:13315567:-1
RNF6,ENSCAFG00845026572,ENSCAFP00845036858.1,25:13334223:13377929:1
SHISA2,ENSCAFG00845016760,ENSCAFP00845023325.1,25:13608737:13614062:1
ATP8A2,ENSCAFG00845017077,ENSCAFP00845024409.1,25:13628574:14196698:-1
NUP58,ENSCAFG00845017878,ENSCAFP00845025099.1,25:14236493:14289555:-1
MTMR6,ENSCAFG00845018288,ENSCAFP00845025414.1,25:14314140:14409529:1
SPATA13,ENSCAFG00845018801,ENSCAFP00845026148.1,25:14720232:14864379:1
MIPEP,ENSCAFG00845019295,ENSCAFP00845026903.1,25:14886179:15062683:1
TNFRSF19,ENSCAFG00845019643,ENSCAFP00845027444.1,25:15116262:15206145:-1
SACS,ENSCAFG00845020013,ENSCAFP00845027730.1,25:15344723:15433719:1
SGCG,ENSCAFG00845020198,ENSCAFP00845027892.1,25:15437353:15568272:-1
FGF9,ENSCAFG00845020297,ENSCAFP00845027973.1,25:16767643:16801015:-1
MICU2,ENSCAFG00845020415,ENSCAFP00845028397.1,25:16864123:16993752:1
ZDHHC20,ENSCAFG00845020710,ENSCAFP00845028866.1,25:17019076:17091753:1
MRPL57,ENSCAFG00845021002,ENSCAFP00845029015.1,25:17117194:17118390:-1
SKA3,ENSCAFG00845021073,ENSCAFP00845029259.1,25:17118210:17138178:1
SAP18,ENSCAFG00845021235,ENSCAFP00845029366.1,25:17142399:17150735:-1
LATS2,ENSCAFG00845021300,ENSCAFP00845029507.1,25:17237177:17307295:1
XPO4,ENSCAFG00845021422,ENSCAFP00845029756.1,25:17369292:17489394:1
EEF1AKMT1,ENSCAFG00845021658,ENSCAFP00845029922.1,25:17496207:17522168:1
IL17D,ENSCAFG00845021741,ENSCAFP00845030025.1,25:17526434:17545597:-1
IFT88,ENSCAFG00845022012,ENSCAFP00845031637.1,25:17553520:17689059:-1
CRYL1,ENSCAFG00845023166,ENSCAFP00845032198.1,25:17700682:17871604:1
GJB6,ENSCAFG00845023360,ENSCAFP00845032385.1,25:18049938:18062858:1
GJB2,ENSCAFG00845023429,ENSCAFP00845032426.1,25:18090742:18096185:1
GJA3,ENSCAFG00845023462,ENSCAFP00845032466.1,25:18124214:18143066:1
ZMYM2,ENSCAFG00845023531,ENSCAFP00845032702.1,25:18189395:18296279:-1
ZMYM5,ENSCAFG00845023715,ENSCAFP00845032885.1,25:18358455:18399417:1
PSPC1,ENSCAFG00845023833,ENSCAFP00845033048.1,25:18425957:18497672:1
MPHOSPH8,ENSCAFG00845024005,ENSCAFP00845033231.1,25:18530542:18580906:-1
PARP4,ENSCAFG00845024103,ENSCAFP00845033394.1,25:18585840:18682365:-1
CENPJ,ENSCAFG00845024307,ENSCAFP00845033779.1,25:18694837:18748405:1
RPL34,ENSCAFG00845024457,ENSCAFP00845033865.1,25:18724119:18724473:-1
RNF17,ENSCAFG00845024538,ENSCAFP00845034179.1,25:18750342:18867267:-1
ATP12A,ENSCAFG00845024838,ENSCAFP00845034492.1,25:18892410:18918565:-1
CCDC115,ENSCAFG00845025350,ENSCAFP00845035048.1,25:19165709:19170382:1
CBR4,ENSCAFG00845026026,ENSCAFP00845036053.1,25:19734923:19756246:-1
SH3RF1,ENSCAFG00845026368,ENSCAFP00845036638.1,25:20192271:20384617:-1
NEK1,ENSCAFG00845026873,ENSCAFP00845038575.1,25:20475502:20694127:-1
CLCN3,ENSCAFG00845028065,ENSCAFP00845039090.1,25:20704519:20792546:1
HPF1,ENSCAFG00845028301,ENSCAFP00845039175.1,25:20798648:20820457:-1
MFAP3L,ENSCAFG00845028385,ENSCAFP00845039315.1,25:20981461:21058969:-1
AADAT,ENSCAFG00845028500,ENSCAFP00845039524.1,25:21095908:21122348:-1
GALNTL6,ENSCAFG00845016564,ENSCAFP00845023136.1,25:22698808:23857005:1
GALNT7,ENSCAFG00845016982,ENSCAFP00845023628.1,25:23958078:24093568:1
HMGB2,ENSCAFG00845017050,ENSCAFP00845023667.1,25:24102383:24104971:-1
SAP30,ENSCAFG00845017098,ENSCAFP00845023729.1,25:24135334:24140858:1
SCRG1,ENSCAFG00845017141,ENSCAFP00845023787.1,25:24150343:24173722:-1
HAND2,ENSCAFG00845017182,ENSCAFP00845023837.1,25:24304711:24306732:-1
FBXO8,ENSCAFG00845017782,ENSCAFP00845024650.1,25:24914271:24960572:-1
CEP44,ENSCAFG00845017832,ENSCAFP00845024721.1,25:24960834:24999557:1
HPGD,ENSCAFG00845018083,ENSCAFP00845025172.1,25:25126216:25157016:-1
GLRA3,ENSCAFG00845018265,ENSCAFP00845025342.1,25:25294465:25469586:-1
ADAM29,ENSCAFG00845018395,ENSCAFP00845025421.1,25:25604566:25607212:1
CBD131,ENSCAFG00845018500,ENSCAFP00845025589.1,25:26054982:26071877:1
DEFB135,ENSCAFG00845018525,ENSCAFP00845025629.1,25:26081560:26082727:-1
DEFB136,ENSCAFG00845018563,ENSCAFP00845025705.1,25:26118565:26119271:1
CTSB,ENSCAFG00845018672,ENSCAFP00845025954.1,25:26190644:26292033:1
FDFT1,ENSCAFG00845018898,ENSCAFP00845026374.1,25:26212579:26248141:-1
NEIL2,ENSCAFG00845019176,ENSCAFP00845026511.1,25:26255872:26271718:-1
GATA4,ENSCAFG00845019258,ENSCAFP00845026636.1,25:26280509:26337654:-1
BLK,ENSCAFG00845019394,ENSCAFP00845026877.1,25:26487602:26562224:-1
FAM167A,ENSCAFG00845019546,ENSCAFP00845027006.1,25:26600793:26638477:1
TDH,ENSCAFG00845019600,ENSCAFP00845027078.1,25:26693853:26713061:-1
MTMR9,ENSCAFG00845019661,ENSCAFP00845027189.1,25:26725362:26778585:-1
XKR6,ENSCAFG00845019774,ENSCAFP00845027310.1,25:26869192:27177363:1
PINX1,ENSCAFG00845019950,ENSCAFP00845027507.1,25:27244823:27336999:1
SOX7,ENSCAFG00845020007,ENSCAFP00845027590.1,25:27370561:27377493:1
C8orf74,ENSCAFG00845020047,ENSCAFP00845027671.1,25:27400100:27425463:-1
PRSS55,ENSCAFG00845020196,ENSCAFP00845027908.1,25:27577171:27595225:-1
PRSS51,ENSCAFG00845020294,ENSCAFP00845027969.1,25:27605274:27616518:1
MSRA,ENSCAFG00845020456,ENSCAFP00845028521.1,25:27766607:28194969:-1
HMBOX1,ENSCAFG00845021327,ENSCAFP00845030035.1,25:28643729:28835023:-1
INTS9,ENSCAFG00845021872,ENSCAFP00845030331.1,25:28835486:28935746:1
EXTL3,ENSCAFG00845022066,ENSCAFP00845030523.1,25:28944636:29029690:-1
FZD3,ENSCAFG00845022244,ENSCAFP00845030870.1,25:29107554:29234327:-1
FBXO16,ENSCAFG00845022415,ENSCAFP00845031100.1,25:29237745:29294156:1
ZNF395,ENSCAFG00845008517,ENSCAFP00845011643.1,25:29360764:29379300:1
PNOC,ENSCAFG00845008618,ENSCAFP00845011781.1,25:29382714:29404498:-1
ELP3,ENSCAFG00845008841,ENSCAFP00845012358.1,25:29607768:29699705:-1
NUGGC,ENSCAFG00845009140,ENSCAFP00845012747.1,25:29662665:29754172:1
SCARA5,ENSCAFG00845009520,ENSCAFP00845013347.1,25:29783861:29905760:1
PBK,ENSCAFG00845009826,ENSCAFP00845013511.1,25:29943486:29972927:1
ESCO2,ENSCAFG00845009996,ENSCAFP00845013766.1,25:29978378:30003186:-1
CCDC25,ENSCAFG00845010181,ENSCAFP00845013977.1,25:30005389:30046346:1
SCARA3,ENSCAFG00845010317,ENSCAFP00845014272.1,25:30107680:30157514:-1
CLU,ENSCAFG00845010565,ENSCAFP00845014767.1,25:30173099:30195919:1
GULO,ENSCAFG00845010841,ENSCAFP00845014991.1,25:30198348:30230184:-1
EPHX2,ENSCAFG00845011024,ENSCAFP00845015680.1,25:30232723:30297642:-1
CHRNA2,ENSCAFG00845011451,ENSCAFP00845015915.1,25:30307339:30325726:1
PTK2B,ENSCAFG00845011700,ENSCAFP00845017162.1,25:30327666:30454389:-1
TRIM35,ENSCAFG00845012423,ENSCAFP00845017459.1,25:30466843:30503594:1
STMN4,ENSCAFG00845012672,ENSCAFP00845017809.1,25:30523340:30545204:1
ADRA1A,ENSCAFG00845012931,ENSCAFP00845018152.1,25:30890924:31010689:1
DPYSL2,ENSCAFG00845013099,ENSCAFP00845018462.1,25:31099704:31238131:-1
PNMA2,ENSCAFG00845013366,ENSCAFP00845018719.1,25:31238203:31245591:1
PPP2R2A,ENSCAFG00845013440,ENSCAFP00845018881.1,25:31309182:31357312:-1
PPP2R2A,ENSCAFG00845013645,ENSCAFP00845019313.1,25:31395134:31482200:-1
EBF2,ENSCAFG00845013887,ENSCAFP00845019617.1,25:31678347:31870632:1
CDCA2,ENSCAFG00845014066,ENSCAFP00845019828.1,25:32145920:32195032:-1
KCTD9,ENSCAFG00845014154,ENSCAFP00845019932.1,25:32196517:32233078:1
GNRH1,ENSCAFG00845014221,ENSCAFP00845020025.1,25:32238904:32242478:1
DOCK5,ENSCAFG00845014289,ENSCAFP00845020182.1,25:32248522:32457282:-1
NEFL,ENSCAFG00845014438,ENSCAFP00845020363.1,25:32662411:32667975:1
NEFM,ENSCAFG00845014497,ENSCAFP00845020489.1,25:32692549:32697640:-1
ADAM7,ENSCAFG00845014694,ENSCAFP00845020895.1,25:33131957:33214119:-1
ADAMDEC1,ENSCAFG00845014873,ENSCAFP00845020981.1,25:33252440:33267811:-1
ADAM28,ENSCAFG00845015078,ENSCAFP00845021556.1,25:33299273:33470021:-1
STC1,ENSCAFG00845015608,ENSCAFP00845022053.1,25:33824445:33834228:1
NKX2-6,ENSCAFG00845015839,ENSCAFP00845022203.1,25:33988509:33992399:1
NKX3-1,ENSCAFG00845015954,ENSCAFP00845022403.1,25:34021201:34024073:1
SLC25A37,ENSCAFG00845016130,ENSCAFP00845022713.1,25:34100660:34172110:-1
ENTPD4,ENSCAFG00845016515,ENSCAFP00845023455.1,25:34239829:34321447:1
LOXL2,ENSCAFG00845017019,ENSCAFP00845023789.1,25:34303480:34394388:1
R3HCC1,ENSCAFG00845017316,ENSCAFP00845024378.1,25:34368392:34444050:-1
CHMP7,ENSCAFG00845017718,ENSCAFP00845024596.1,25:34450378:34464966:-1
RHOBTB2,ENSCAFG00845018128,ENSCAFP00845025615.1,25:34508867:34537055:-1
